"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2011","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2014","1210854977","1"
"India","2011","Total","Both Sexes","0","Census - de facto - complete tabulation","Final figure, complete","2014","20311234","1"
"India","2011","Total","Both Sexes","0 - 4","Census - de facto - complete tabulation","Final figure, complete","2014","112806778","1"
"India","2011","Total","Both Sexes","1","Census - de facto - complete tabulation","Final figure, complete","2014","21755197","1"
"India","2011","Total","Both Sexes","2","Census - de facto - complete tabulation","Final figure, complete","2014","23056268","1"
"India","2011","Total","Both Sexes","3","Census - de facto - complete tabulation","Final figure, complete","2014","23974041","1"
"India","2011","Total","Both Sexes","4","Census - de facto - complete tabulation","Final figure, complete","2014","23710038","1"
"India","2011","Total","Both Sexes","5","Census - de facto - complete tabulation","Final figure, complete","2014","26054230","1"
"India","2011","Total","Both Sexes","5 - 9","Census - de facto - complete tabulation","Final figure, complete","2014","126928126","1"
"India","2011","Total","Both Sexes","6","Census - de facto - complete tabulation","Final figure, complete","2014","25654245","1"
"India","2011","Total","Both Sexes","7","Census - de facto - complete tabulation","Final figure, complete","2014","24826640","1"
"India","2011","Total","Both Sexes","8","Census - de facto - complete tabulation","Final figure, complete","2014","26968373","1"
"India","2011","Total","Both Sexes","9","Census - de facto - complete tabulation","Final figure, complete","2014","23424638","1"
"India","2011","Total","Both Sexes","10","Census - de facto - complete tabulation","Final figure, complete","2014","30552107","1"
"India","2011","Total","Both Sexes","10 - 14","Census - de facto - complete tabulation","Final figure, complete","2014","132709212","1"
"India","2011","Total","Both Sexes","11","Census - de facto - complete tabulation","Final figure, complete","2014","24740946","1"
"India","2011","Total","Both Sexes","12","Census - de facto - complete tabulation","Final figure, complete","2014","27877307","1"
"India","2011","Total","Both Sexes","13","Census - de facto - complete tabulation","Final figure, complete","2014","24280683","1"
"India","2011","Total","Both Sexes","14","Census - de facto - complete tabulation","Final figure, complete","2014","25258169","1"
"India","2011","Total","Both Sexes","15","Census - de facto - complete tabulation","Final figure, complete","2014","25899454","1"
"India","2011","Total","Both Sexes","15 - 19","Census - de facto - complete tabulation","Final figure, complete","2014","120526449","1"
"India","2011","Total","Both Sexes","16","Census - de facto - complete tabulation","Final figure, complete","2014","24592293","1"
"India","2011","Total","Both Sexes","17","Census - de facto - complete tabulation","Final figure, complete","2014","21217467","1"
"India","2011","Total","Both Sexes","18","Census - de facto - complete tabulation","Final figure, complete","2014","27958147","1"
"India","2011","Total","Both Sexes","19","Census - de facto - complete tabulation","Final figure, complete","2014","20859088","1"
"India","2011","Total","Both Sexes","20","Census - de facto - complete tabulation","Final figure, complete","2014","28882735","1"
"India","2011","Total","Both Sexes","20 - 24","Census - de facto - complete tabulation","Final figure, complete","2014","111424222","1"
"India","2011","Total","Both Sexes","21","Census - de facto - complete tabulation","Final figure, complete","2014","19978972","1"
"India","2011","Total","Both Sexes","22","Census - de facto - complete tabulation","Final figure, complete","2014","23528225","1"
